RedFighter,BlueFighter,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedWinsByDecision,RedWinsByKOTKO,BlueWinsByDecision,BlueWinsByKOTKO,RedUFC_Debut,BlueUFC_Debut,RedDaysSinceLastFight,BlueDaysSinceLastFight,RedCurrELO,BlueCurrELO,ExpectedValueDiff,CurrentLoseStreakDiff,CurrentWinStreakDiff,DrawsDiff,AvgSigStrLandedDiff,AvgSubAttDiff,AvgTDLandedDiff,LossesDiff,TotalRoundsFoughtDiff,TotalTitleBoutsDiff,WinsBySubmissionDiff,WinsDiff,HeightCmsDiff,ReachCmsDiff,WeightLbsDiff,AgeDiff,WinsByDecisionDiff,WinsByKOTKODiff,UFC_DebutDiff,DaysSinceLastFightDiff,CurrELODiff
Cody Durden,Joshua Van,0.48003811254003137,0.5199618874599686,2024-12-07,"Las Vegas, Nevada, USA",USA,0,0,Flyweight,MALE,3,0,1,0,2.0204761904761908,0.1190909090909091,0.0,0.285,0.1104,1,14,0,0,4,Orthodox,165.1,165.1,125,0,1,1,0.698695652173913,0.10595744680851064,0.1708333333333333,0.9020408163265307,0.09519999999999999,4,24,0,1,6,Southpaw,170.18,170.18,125,33,23,DEC,3.0,5:00,900.0,4,1,3,1,0,0,91,84,1527.0158259748937,1540.8941428130158,-0.03992377491993726,0,0,1,-1.3217805383022778,0.1708333333333333,0.6170408163265306,3,10,0,1,2,5.0800000000000125,5.0800000000000125,0,10,1,0,0,7,-13.878316838122146
Michael Chiesa,Max Griffin,0.5704263256912646,0.4295736743087354,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Welterweight,MALE,3,0,1,0,3.1857019736842096,0.09633766233766237,0.08450833333333332,0.20911392405063287,0.06142500000000001,8,44,0,0,8,Orthodox,180.34,193.04,170,0,1,0,2.407429120879121,0.0828913043478261,0.1974602150537634,0.4419101063829788,0.08294210526315789,7,41,1,7,12,Southpaw,185.42,190.5,170,37,39,SUB,3.0,1:56,716.0,5,0,5,3,0,0,126,301,1576.0290108031381,1526.7642500508562,0.14085265138252923,0,0,0,-0.7782728528050886,0.11295188172043008,0.23279618233234592,-1,-3,1,7,4,5.079999999999984,-2.539999999999992,0,-2,0,-3,0,-175,49.26476075228197
Clay Guida,Chase Hooper,0.4288379573226734,0.5711620426773266,2024-12-07,"Las Vegas, Nevada, USA",USA,0,0,Lightweight,MALE,3,0,3,0,1.2770731707317071,0.1141190476190476,0.5279069767441861,0.2113636363636364,0.035777777777777776,3,23,0,3,7,Southpaw,185.42,187.96,155,2,0,0,4.073028571428571,0.07107874015748031,0.13319375,0.6104217054263564,0.07661538461538459,19,105,2,5,20,Orthodox,170.18,177.8,155,42,25,SUB,1.0,3:41,221.0,13,2,2,2,0,0,371,210,1492.0498597251517,1541.836307501495,-0.14232408535465324,2,-3,0,2.795955400696864,-0.3947132267441861,0.39905806906272,16,82,2,2,13,-15.23999999999998,-10.159999999999997,0,17,11,0,0,161,-49.786447776343266
Kennedy Nzechukwu,Lukasz Brzeski,0.5933041440946147,0.40669585590538526,2024-12-07,"Las Vegas, Nevada, USA",USA,1,0,Heavyweight,MALE,3,1,0,0,1.1666666666666667,0.11363636363636363,0.10869565217391304,0.09583333333333334,0.1,4,14,0,1,2,Orthodox,193.04,198.12,236,0,1,0,1.3139285714285716,0.09403508771929825,0.031034482758620686,0.09511271186440678,0.06505000000000001,5,31,0,1,9,Southpaw,195.58,210.82,205,32,32,KO/TKO,1.0,4:51,291.0,2,6,1,0,0,0,42,133,1526.360574375345,1460.7575205015257,0.18660828818922948,-1,1,0,0.14726190476190482,-0.07766116941529236,-0.000720621468926555,1,17,0,0,7,2.5400000000000205,12.699999999999989,-31,0,1,6,0,-91,65.60305387381936
Petr Yan,Deiveson Figueiredo,0.40096780503722673,0.5990321949627733,2024-11-23,"Macau, China",China,1,0,Bantamweight,MALE,5,0,3,1,1.5115957746478876,0.10779166666666667,0.46073013698630144,0.3246851351351351,0.08721333333333331,3,44,6,4,13,Orthodox,165.1,172.72,135,0,1,0,4.819999999999999,0.11101754385964913,0.029022413793103455,0.2672881355932204,0.07675,4,45,4,0,9,Switch,170.18,170.18,135,31,36,DEC,5.0,5:00,1500.0,5,4,5,4,0,0,259,112,1570.968712000696,1640.7049764020137,-0.19806438992554654,0,-2,-1,3.3084042253521115,-0.431707723193198,-0.057396999541914684,1,1,-2,-4,-4,5.0800000000000125,-2.539999999999992,0,-5,0,0,0,147,-69.73626440131761
Yan Xiaonan,Tabatha Ricci,0.5087358319795039,0.4912641680204961,2024-11-23,"Macau, China",China,1,0,Women's Strawweight,FEMALE,3,0,2,0,0.9497222222222221,0.07648648648648648,0.021052631578947368,0.5366666666666666,0.06574999999999999,2,22,0,1,6,Orthodox,154.94,154.94,115,1,0,0,6.471111764705885,0.09011538461538461,0.005660377358490566,0.13648148148148148,0.09145454545454544,3,34,1,0,8,Orthodox,165.1,160.02,115,35,29,DEC,3.0,5:00,900.0,7,1,5,0,0,0,224,91,1567.7883001364266,1561.7174045565598,0.017471663959007788,1,-2,0,5.5213895424836625,-0.015392254220456803,-0.40018518518518514,1,12,1,-1,2,10.159999999999997,5.0800000000000125,0,6,2,1,0,133,6.0708955798668285
Song Kenan,Muslim Salikhov,0.45026763300444295,0.549732366995557,2024-11-23,"Macau, China",China,0,0,Welterweight,MALE,3,0,1,0,1.1602617647058824,0.09884615384615386,0.00644622641509434,0.210925925925926,0.06594545454545454,4,26,0,0,7,Orthodox,180.34,177.8,170,0,1,0,1.9263771739130429,0.11542553191489362,0.0071177083333333335,0.055714285714285716,0.03314,4,23,0,0,6,Orthodox,182.88,180.34,170,34,40,KO/TKO,1.0,3:49,229.0,3,3,4,3,0,0,98,133,1521.049252927781,1555.7214844042765,-0.09946473399111411,0,0,0,0.7661154092071605,0.0006714819182389933,-0.15521164021164027,0,-3,0,0,-1,2.539999999999992,2.539999999999992,0,-6,-1,0,0,-35,-34.672231476495426
Wang Cong,Gabriella Fernandes,0.5419521776293083,0.45804782237069175,2024-11-23,"Macau, China",China,0,0,Women's Flyweight,FEMALE,3,0,1,0,1.0172727272727273,0.1225,0.0,0.1435714285714286,0.044000000000000004,2,9,0,0,1,Southpaw,167.64,167.64,125,0,2,0,7.07,0.295,2.433333333333333,0.915,0.2,0,2,0,1,2,Southpaw,167.64,167.64,125,32,31,SUB,2.0,3:49,529.0,0,1,1,0,0,0,91,161,1514.6911764094489,1485.4711192514974,0.0839043552586165,0,1,0,6.052727272727273,2.433333333333333,0.7714285714285715,-2,-7,0,1,1,0.0,0.0,0,1,-1,1,0,-70,29.220057157951487
Volkan Oezdemir,Carlos Ulberg,0.45783720461823213,0.5421627953817678,2024-11-23,"Macau, China",China,0,0,Light Heavyweight,MALE,3,0,6,0,1.920322580645161,0.12999999999999998,0.05454545454545455,0.16764705882352943,0.12857142857142856,1,13,0,1,7,Orthodox,193.04,195.58,205,0,2,0,4.5948484848484865,0.10444776119402989,0.010294117647058823,0.07379202898550727,0.04021428571428572,6,31,1,1,8,Orthodox,187.96,190.5,205,35,34,DEC,3.0,5:00,900.0,3,4,1,5,0,0,154,196,1547.7255268475978,1577.0929790806886,-0.08432559076353568,0,-4,0,2.6745259042033256,-0.04425133689839573,-0.09385502983802216,5,18,1,0,1,-5.079999999999984,-5.0800000000000125,0,1,2,-1,0,-42,-29.367452233090717
Zhang Mingyang,Ozzy Diaz,0.5230095872975623,0.4769904127024377,2024-11-23,"Macau, China",China,1,0,Light Heavyweight,MALE,3,1,0,0,17.0,0.49,0.2,0.83165,0.303,1,2,0,0,0,Orthodox,193.04,200.66,205,0,2,0,9.23,0.285,0.0,0.0,0.0,0,2,0,0,2,Orthodox,187.96,190.5,205,26,34,KO/TKO,1.0,2:25,145.0,0,2,0,0,0,1,280,60,1516.0,1500.0,0.04601917459512461,-1,2,0,-7.77,-0.2,-0.83165,-1,0,0,0,2,-5.079999999999984,-10.159999999999997,0,-8,0,2,-1,220,16.0
